GPSTime,Left T2C (deg C),Left NG (%),Left IGV (deg)
9/26/2011 12:23,31.74063,21.30786,62.28261
9/26/2011 12:24,32.00623,22.36885,62.19516
9/26/2011 12:24,32.00623,23.37004,62.23693
9/26/2011 12:24,31.85687,24.91044,62.26704
9/26/2011 12:24,31.85687,26.69215,62.18782
9/26/2011 12:24,31.23285,28.67911,62.18976
9/26/2011 12:24,31.23285,30.68222,62.22619
9/26/2011 12:24,30.45126,32.78629,62.22208
9/26/2011 12:24,30.45126,34.83963,62.19503
9/26/2011 12:24,29.76471,36.89092,62.18629
9/26/2011 12:24,29.76471,38.91697,62.23156
9/26/2011 12:24,28.9516,40.79746,62.26999
9/26/2011 12:24,28.9516,42.57761,62.16084
9/26/2011 12:24,28.52277,44.5702,62.2629
9/26/2011 12:24,28.52277,46.53909,62.32203
9/26/2011 12:24,27.92142,48.57079,62.27103
9/26/2011 12:24,27.92142,50.55074,62.31343
9/26/2011 12:24,27.70911,52.55938,62.38148
9/26/2011 12:24,27.70911,54.63378,62.38563
9/26/2011 12:24,27.44775,56.60818,62.23078
9/26/2011 12:24,27.44775,58.75962,61.09198
9/26/2011 12:24,27.30035,61.55481,59.8978
9/26/2011 12:24,27.30035,65.4824,58.18773
9/26/2011 12:24,27.44705,68.57546,56.314
9/26/2011 12:24,27.44705,67.87172,56.41294
9/26/2011 12:24,27.83029,67.52524,56.67136
9/26/2011 12:24,27.83029,67.56356,56.73635
9/26/2011 12:24,28.28787,67.56356,56.589
9/26/2011 12:24,28.28787,67.52524,56.51437
9/26/2011 12:24,28.50357,67.56356,56.43356
9/26/2011 12:24,28.50357,67.60193,56.61625
9/26/2011 12:24,28.4584,67.67879,56.58884
9/26/2011 12:24,28.4584,67.60193,56.53074
9/26/2011 12:24,28.55405,67.48696,56.53379
9/26/2011 12:24,28.55405,67.52524,56.517
9/26/2011 12:24,28.48132,67.48696,56.44884
9/26/2011 12:24,28.48132,67.48696,56.42494
9/26/2011 12:24,28.26282,67.48696,56.40929
9/26/2011 12:24,28.26282,67.44872,56.43312
9/26/2011 12:24,28.23795,67.48696,56.48948
9/26/2011 12:24,28.23795,67.48696,56.45969
9/26/2011 12:24,28.18887,67.52524,56.45842
9/26/2011 12:24,28.18887,67.48696,56.51216
9/26/2011 12:24,28.11252,67.48696,56.60389
9/26/2011 12:24,28.11252,67.44872,56.52877
9/26/2011 12:24,28.15466,67.52524,56.53814
9/26/2011 12:24,28.15466,67.52524,56.59601
9/26/2011 12:24,27.86902,67.44872,56.60117
9/26/2011 12:24,27.86902,67.48696,56.52278
9/26/2011 12:24,28.09866,67.52524,56.54963
9/26/2011 12:24,28.09866,67.48696,56.55018
9/26/2011 12:24,28.04291,67.48696,56.61695
9/26/2011 12:24,28.04291,67.48696,56.55936
9/26/2011 12:24,28.00491,67.48696,56.54703
9/26/2011 12:24,28.00491,67.48696,56.56636
9/26/2011 12:24,28.01019,67.44872,56.63376
9/26/2011 12:24,28.01019,67.48696,56.63056
9/26/2011 12:24,27.98242,67.48696,56.5862
9/26/2011 12:24,27.98242,67.48696,56.61148
9/26/2011 12:24,27.93103,67.44872,56.51781
9/26/2011 12:25,27.93103,67.37238,56.62838
9/26/2011 12:25,27.84991,67.44872,56.63667
9/26/2011 12:25,27.84991,67.44872,56.63962
9/26/2011 12:25,27.86212,67.56356,56.60519
9/26/2011 12:25,27.86212,67.48696,56.51165
9/26/2011 12:25,27.89899,67.48696,56.46896
9/26/2011 12:25,27.89899,67.48696,56.56231
9/26/2011 12:25,27.82944,67.44872,56.55582
9/26/2011 12:25,27.82944,67.48696,56.5493
9/26/2011 12:25,27.84109,67.44872,56.62123
